ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
CU1811.SHF,20180425,52480.0,52370.0,52720.0,52930.0,52440.0,52450.0,52650.0,80.0,280.0,276.0,7266.59,26508.0,-38.0
CU1811.SHF,20180426,52450.0,52650.0,52690.0,52810.0,52310.0,52480.0,52510.0,-170.0,-140.0,754.0,19798.78,26412.0,-96.0
CU1811.SHF,20180427,52480.0,52510.0,52410.0,52660.0,52400.0,52500.0,52520.0,-10.0,10.0,728.0,19119.59,26642.0,230.0
CU1811.SHF,20180502,52500.0,52520.0,51700.0,52110.0,51700.0,52080.0,51950.0,-440.0,-570.0,1052.0,27327.67,26674.0,32.0
CU1811.SHF,20180503,52080.0,51950.0,52000.0,52010.0,51780.0,51960.0,51890.0,10.0,-60.0,2656.0,68912.67,26748.0,74.0
CU1811.SHF,20180504,51960.0,51890.0,52150.0,52200.0,51730.0,52170.0,52060.0,280.0,170.0,754.0,19629.39,26748.0,0.0
CU1811.SHF,20180507,52170.0,52060.0,52000.0,52130.0,51870.0,52050.0,51980.0,-10.0,-80.0,512.0,13308.47,26828.0,80.0
CU1811.SHF,20180508,52050.0,51980.0,52250.0,52280.0,51980.0,52110.0,52120.0,130.0,140.0,252.0,6567.59,26806.0,-22.0
CU1811.SHF,20180509,52110.0,52120.0,51600.0,51880.0,51210.0,51670.0,51640.0,-450.0,-480.0,966.0,24945.94,26908.0,102.0
CU1811.SHF,20180510,51670.0,51640.0,51790.0,52040.0,51660.0,51840.0,51900.0,200.0,260.0,762.0,19776.48,27260.0,352.0
CU1811.SHF,20180511,51840.0,51900.0,52250.0,52280.0,52070.0,52150.0,52180.0,250.0,280.0,1294.0,33762.95,27390.0,130.0
CU1811.SHF,20180514,52150.0,52180.0,52230.0,52470.0,52210.0,52290.0,52360.0,110.0,180.0,768.0,20108.77,27514.0,124.0
CU1811.SHF,20180515,52290.0,52360.0,52110.0,52160.0,51820.0,51930.0,52020.0,-430.0,-340.0,340.0,8843.47,27518.0,4.0
CU1811.SHF,20180516,51930.0,52020.0,51780.0,51910.0,51460.0,51780.0,51730.0,-240.0,-290.0,1012.0,26177.35,27550.0,32.0
CU1811.SHF,20180517,51780.0,51730.0,51690.0,51950.0,51630.0,51770.0,51850.0,40.0,120.0,712.0,18459.61,27580.0,30.0
CU1811.SHF,20180518,51770.0,51850.0,51870.0,52040.0,51800.0,51990.0,51980.0,140.0,130.0,284.0,7381.24,27526.0,-54.0
CU1811.SHF,20180521,51990.0,51980.0,51850.0,52260.0,51700.0,52160.0,52020.0,180.0,40.0,634.0,16492.69,27534.0,8.0
CU1811.SHF,20180522,52160.0,52020.0,52290.0,52340.0,52150.0,52170.0,52210.0,150.0,190.0,472.0,12322.25,27590.0,56.0
CU1811.SHF,20180523,52170.0,52210.0,52530.0,52940.0,52380.0,52470.0,52660.0,260.0,450.0,1946.0,51242.39,27458.0,-132.0
CU1811.SHF,20180524,52470.0,52660.0,52100.0,52170.0,52000.0,52130.0,52090.0,-530.0,-570.0,458.0,11930.11,27504.0,46.0
CU1811.SHF,20180525,52130.0,52090.0,52230.0,52390.0,52040.0,52200.0,52260.0,110.0,170.0,1630.0,42598.14,27516.0,12.0
CU1811.SHF,20180528,52200.0,52260.0,52160.0,52300.0,52040.0,52300.0,52170.0,40.0,-90.0,742.0,19357.65,27518.0,2.0
CU1811.SHF,20180529,52300.0,52170.0,52060.0,52500.0,52010.0,52420.0,52220.0,250.0,50.0,1040.0,27155.43,27544.0,26.0
